Series;Time;Value
a-cube;2020-02-09T00:00:00+05:30;0.11363070914002638
a-cube;2020-02-09T00:02:00+05:30;0.24464749958836005
a-cube;2020-02-09T00:04:00+05:30;0.21451750120036936
a-cube;2020-02-09T00:06:00+05:30;0.032394584499999976
a-cube;2020-02-09T00:08:00+05:30;0.023541272571912054
a-cube;2020-02-09T00:10:00+05:30;0.020991207233333333
a-cube;2020-02-09T00:12:00+05:30;0.022105818874074045
a-cube;2020-02-09T00:14:00+05:30;0.02163885769629632
a-cube;2020-02-09T00:16:00+05:30;0.02157591637037031
a-cube;2020-02-09T00:18:00+05:30;0.020400570333333316
a-cube;2020-02-09T00:20:00+05:30;0.019951507488888905
a-cube;2020-02-09T00:22:00+05:30;0.018277818351851948
a-cube;2020-02-09T00:24:00+05:30;0.023815221718518517
a-cube;2020-02-09T00:26:00+05:30;0.04441466637777785
a-cube;2020-02-09T00:28:00+05:30;0.03810939364268765
a-cube;2020-02-09T00:30:00+05:30;0.24370974583336696
a-cube;2020-02-09T00:32:00+05:30;0.21789735310467345
a-cube;2020-02-09T00:34:00+05:30;0.037887041629629734
a-cube;2020-02-09T00:36:00+05:30;0.04762845485925926
a-cube;2020-02-09T00:38:00+05:30;0.05209198918210158
a-cube;2020-02-09T00:40:00+05:30;0.28333984005197616
a-cube;2020-02-09T00:42:00+05:30;0.2262001414166325
a-cube;2020-02-09T00:44:00+05:30;0.22507997873540145
a-cube;2020-02-09T00:46:00+05:30;0.02048768471968626
a-cube;2020-02-09T00:48:00+05:30;0.01895619991481476
a-cube;2020-02-09T00:50:00+05:30;0.018213283125925964
a-cube;2020-02-09T00:52:00+05:30;0.019842703479743713
a-cube;2020-02-09T00:54:00+05:30;0.020086225833333367
a-cube;2020-02-09T00:56:00+05:30;0.021721141321368667
a-cube;2020-02-09T00:58:00+05:30;0.021071116648148116
a-cube;2020-02-09T01:00:00+05:30;0.018063713911111126
a-cube;2020-02-09T01:02:00+05:30;0.018848274801175124
a-cube;2020-02-09T01:04:00+05:30;0.01822510539259265
a-cube;2020-02-09T01:06:00+05:30;0.01790755341481482
a-cube;2020-02-09T01:08:00+05:30;0.017921569037040806
a-cube;2020-02-09T01:10:00+05:30;0.017703397096296213
a-cube;2020-02-09T01:12:00+05:30;0.017475906811111133
a-cube;2020-02-09T01:14:00+05:30;0.01840443518956664
a-cube;2020-02-09T01:16:00+05:30;0.01850239040409892
a-cube;2020-02-09T01:18:00+05:30;0.017583382970370272
a-cube;2020-02-09T01:20:00+05:30;0.01785422316666664
a-cube;2020-02-09T01:22:00+05:30;0.017546668407407456
a-cube;2020-02-09T01:24:00+05:30;0.017385698117913337
a-cube;2020-02-09T01:26:00+05:30;0.22134430104129632
a-cube;2020-02-09T01:28:00+05:30;0.2210261538301852
a-cube;2020-02-09T01:30:00+05:30;0.0170905269296295
a-cube;2020-02-09T01:32:00+05:30;0.018506885374074033
a-cube;2020-02-09T01:34:00+05:30;0.01817723163703705
a-cube;2020-02-09T01:36:00+05:30;0.01772470309572871
a-cube;2020-02-09T01:38:00+05:30;0.017584743740740826
a-cube;2020-02-09T01:40:00+05:30;0.017787495533333315
a-cube;2020-02-09T01:42:00+05:30;0.017501819352818443
a-cube;2020-02-09T01:44:00+05:30;0.01775899115555549
a-cube;2020-02-09T01:46:00+05:30;0.01811505047989474
a-cube;2020-02-09T01:48:00+05:30;0.017924951648148158
a-cube;2020-02-09T01:50:00+05:30;0.017380445451851856
a-cube;2020-02-09T01:52:00+05:30;0.017186306651023293
a-cube;2020-02-09T01:54:00+05:30;0.017299995500000002
a-cube;2020-02-09T01:56:00+05:30;0.017939218422222222
a-cube;2020-02-09T01:58:00+05:30;0.016391614140740626
a-cube;2020-02-09T02:00:00+05:30;0.017091378181481542
a-cube;2020-02-09T02:02:00+05:30;0.017523138781481446
a-cube;2020-02-09T02:04:00+05:30;0.01748657870593607
a-cube;2020-02-09T02:06:00+05:30;0.016985838270370472
a-cube;2020-02-09T02:08:00+05:30;0.01696178427173162
a-cube;2020-02-09T02:10:00+05:30;0.017511623172643365
a-cube;2020-02-09T02:12:00+05:30;0.01733427816666666
a-cube;2020-02-09T02:14:00+05:30;0.01787711915723485
a-cube;2020-02-09T02:16:00+05:30;0.017886024414602797
a-cube;2020-02-09T02:18:00+05:30;0.01806118335185185
a-cube;2020-02-09T02:20:00+05:30;0.01727241035364037
a-cube;2020-02-09T02:22:00+05:30;0.017840705085680756
a-cube;2020-02-09T02:24:00+05:30;0.018315601005440146
a-cube;2020-02-09T02:26:00+05:30;0.01745642513703712
