,Num_Date_Time,Value_comb
0,6.04,5.0
1,6.06,5.0
2,6.08,5.0
3,6.1,5.0
4,6.12,5.0
5,6.14,5.0
6,6.16,5.0
7,6.18,5.0
8,6.2,5.0
9,6.22,5.0
10,6.24,5.0
11,6.26,5.0
12,6.28,5.0
13,6.3,5.0
14,6.32,5.0
15,6.34,5.0
16,6.36,5.0
17,6.38,5.0
18,6.4,5.0
19,6.42,5.0
20,6.44,5.0
21,6.46,5.0
22,6.48,5.0
23,6.5,5.0
24,6.52,5.0
25,6.54,5.0
26,6.56,5.0
27,6.58,5.0
28,7.0,5.0
29,7.02,5.0
30,7.04,5.0
31,7.06,5.0
32,7.08,5.0
33,7.1,5.0
34,7.12,5.0
35,7.14,5.0
36,7.16,5.0
37,7.18,5.0
38,7.2,5.0
39,7.22,5.0
40,7.24,5.0
41,7.26,5.0
42,7.28,5.0
43,7.3,5.0
44,7.32,5.0
45,7.34,5.0
46,7.36,5.0
47,7.38,5.0
48,7.4,5.0
49,7.42,5.0
50,7.44,5.0
51,7.46,5.0
52,7.48,5.0
53,7.5,5.0
54,7.52,5.0
55,7.54,5.0
56,7.56,5.0
57,7.58,5.0
58,8.0,5.0
59,8.02,5.0
60,8.04,5.0
61,8.06,5.0
62,8.08,5.0
63,8.1,5.0
64,8.12,5.0
65,8.14,5.0
66,8.16,5.0
67,8.18,5.0
68,8.2,5.0
69,8.22,5.0
70,8.24,5.0
71,8.26,5.0
72,8.28,5.0
73,8.3,5.0
74,8.32,5.0
75,8.34,5.0
76,8.36,5.0
77,8.38,5.0
78,8.4,5.0
79,8.42,5.0
80,8.44,5.0
81,8.46,5.0
82,8.48,5.0
83,8.5,5.0
84,8.52,5.0
85,8.54,5.0
86,8.56,5.0
87,8.58,5.0
88,9.0,5.0
89,9.02,5.0
90,9.04,5.0
91,9.06,5.0
92,9.08,5.0
93,9.1,5.0
94,9.12,5.0
95,9.14,5.0
96,9.16,5.0
97,9.18,5.0
98,9.2,5.0
99,9.22,5.0
100,9.24,5.0
101,9.26,5.0
102,9.28,5.0
103,9.3,5.0
104,9.32,5.0
105,9.34,5.0
106,9.36,5.0
107,9.38,5.0
108,9.4,5.0
109,9.42,5.0
110,9.44,5.0
111,9.46,5.0
112,9.48,5.0
113,9.5,5.0
114,9.52,5.0
115,9.54,5.0
116,9.56,5.0
117,9.58,5.0
118,10.0,5.0
119,10.02,5.0
120,10.04,5.0
121,10.06,5.0
122,10.08,5.0
123,10.1,5.0
124,10.12,5.0
125,10.14,5.0
126,10.16,5.0
127,10.18,5.0
128,10.2,5.0
129,10.22,5.0
130,10.24,5.0
131,10.26,5.0
132,10.28,5.0
133,10.3,5.0
134,10.32,5.0
135,10.34,5.0
136,10.36,5.0
137,10.38,5.0
138,10.4,5.0
139,10.42,5.0
140,10.44,5.0
141,10.46,5.0
142,10.48,5.0
143,10.5,5.0
144,10.52,5.0
145,10.54,5.0
146,10.56,5.0
147,10.58,5.0
148,11.0,5.0
149,11.02,5.0
150,11.04,5.0
151,11.06,5.0
152,11.08,5.0
153,11.1,5.0
154,11.12,5.0
155,11.14,5.0
156,11.16,5.0
157,11.18,5.0
158,11.2,5.0
159,11.22,5.0
160,11.24,5.0
161,11.26,5.0
162,11.28,5.0
163,11.3,5.0
164,11.32,5.0
165,11.34,5.0
166,11.36,5.0
167,11.38,5.0
168,11.4,5.0
169,11.42,5.0
170,11.44,5.0
171,11.46,5.0
172,11.48,5.0
173,11.5,5.0
174,11.52,5.0
175,11.54,5.0
176,11.56,5.0
177,11.58,5.0
178,12.0,5.0
179,12.02,5.0
180,12.04,5.0
181,12.06,5.0
182,12.08,5.0
183,12.1,5.0
184,12.12,5.0
185,12.14,5.0
186,12.16,5.0
187,12.18,5.0
188,12.2,5.0
189,12.22,5.0
190,12.24,5.0
191,12.26,5.0
192,12.28,5.0
193,12.3,5.0
194,12.32,5.0
195,12.34,5.0
196,12.36,5.0
197,12.38,5.0
198,12.4,5.0
199,12.42,5.0
200,12.44,5.0
201,12.46,5.0
202,12.48,5.0
203,12.5,5.0
204,12.52,5.0
205,12.54,5.0
206,12.56,5.0
207,12.58,5.0
208,13.0,5.0
209,13.02,5.0
210,13.04,5.0
211,13.06,5.0
212,13.08,5.0
213,13.1,5.0
214,13.12,5.0
215,13.14,5.0
216,13.16,5.0
217,13.18,5.0
218,13.2,5.0
219,13.22,5.0
220,13.24,5.0
221,13.26,5.0
222,13.28,5.0
223,13.3,5.0
224,13.32,5.0
225,13.34,5.0
226,13.36,5.0
227,13.38,17.0
228,13.4,17.0
229,13.42,17.0
230,13.44,5.0
231,13.46,5.0
232,13.48,5.0
233,13.5,5.0
234,13.52,5.0
235,13.54,5.0
236,13.56,5.0
237,13.58,5.0
238,14.0,5.0
239,14.02,5.0
240,14.04,5.0
241,14.06,5.0
242,14.08,5.0
243,14.1,5.0
244,14.12,5.0
245,14.14,5.0
246,14.16,5.0
247,14.18,5.0
248,14.2,5.0
249,14.22,5.0
250,14.24,5.0
251,14.26,5.0
252,14.28,5.0
253,14.3,5.0
254,14.32,5.0
255,14.34,5.0
256,14.36,5.0
257,14.38,5.0
258,14.4,5.0
259,14.42,5.0
260,14.44,5.0
261,14.46,5.0
262,14.48,5.0
263,14.5,5.0
264,14.52,5.0
265,14.54,5.0
266,14.56,5.0
267,14.58,5.0
268,15.0,5.0
269,15.02,5.0
270,15.04,5.0
