Series;Time;Value
bullseye;2020-02-01T17:12:30+05:30;0.010739009081333333
bullseye;2020-02-01T17:13:00+05:30;0.010812798953333334
bullseye;2020-02-01T17:13:30+05:30;0.01835999628743911
bullseye;2020-02-01T17:14:00+05:30;0.01742217076173768
bullseye;2020-02-01T17:14:30+05:30;0.017947992072498333
bullseye;2020-02-01T17:15:00+05:30;0.018724491411889362
bullseye;2020-02-01T17:15:30+05:30;0.01963922286035894
bullseye;2020-02-01T17:16:00+05:30;0.008976358068333332
bullseye;2020-02-01T17:16:30+05:30;0.008976358068333332
bullseye;2020-02-01T17:17:00+05:30;0.008976358068333332
bullseye;2020-02-01T17:17:30+05:30;0.00917113425469569
commoncicd;2020-02-01T16:17:30+05:30;null
commoncicd;2020-02-01T16:18:00+05:30;null
commoncicd;2020-02-01T16:18:30+05:30;null
commoncicd;2020-02-01T16:19:00+05:30;null
commoncicd;2020-02-01T16:19:30+05:30;null
commoncicd;2020-02-01T16:20:00+05:30;null
commoncicd;2020-02-01T16:20:30+05:30;null
commoncicd;2020-02-01T16:21:00+05:30;null
commoncicd;2020-02-01T16:21:30+05:30;null
commoncicd;2020-02-01T16:22:00+05:30;null
commoncicd;2020-02-01T16:22:30+05:30;null
commoncicd;2020-02-01T16:23:00+05:30;null
commoncicd;2020-02-01T16:23:30+05:30;null
commoncicd;2020-02-01T16:24:00+05:30;null
commoncicd;2020-02-01T16:24:30+05:30;null
commoncicd;2020-02-01T16:25:00+05:30;null
commoncicd;2020-02-01T16:25:30+05:30;null
commoncicd;2020-02-01T16:26:00+05:30;null
commoncicd;2020-02-01T16:26:30+05:30;null
commoncicd;2020-02-01T16:27:00+05:30;null
commoncicd;2020-02-01T16:27:30+05:30;null
commoncicd;2020-02-01T16:28:00+05:30;null
commoncicd;2020-02-01T16:28:30+05:30;null
commoncicd;2020-02-01T16:29:00+05:30;null
commoncicd;2020-02-01T16:29:30+05:30;null
commoncicd;2020-02-01T16:30:00+05:30;null
commoncicd;2020-02-01T16:30:30+05:30;null
commoncicd;2020-02-01T16:31:00+05:30;null
commoncicd;2020-02-01T16:31:30+05:30;null
commoncicd;2020-02-01T16:32:00+05:30;null
commoncicd;2020-02-01T16:32:30+05:30;null
commoncicd;2020-02-01T16:33:00+05:30;null
commoncicd;2020-02-01T16:33:30+05:30;null
commoncicd;2020-02-01T16:34:00+05:30;null
commoncicd;2020-02-01T16:34:30+05:30;null
commoncicd;2020-02-01T16:35:00+05:30;null
commoncicd;2020-02-01T16:35:30+05:30;null
commoncicd;2020-02-01T16:36:00+05:30;null
commoncicd;2020-02-01T16:36:30+05:30;null
commoncicd;2020-02-01T16:37:00+05:30;null
commoncicd;2020-02-01T16:37:30+05:30;null
commoncicd;2020-02-01T16:38:00+05:30;null
